gene,WT1,WT2,F71Y1,F71Y2,R61K1,R61K2,R61H1,R61H2,null1,null2
BSU06410_yebG_hypothetical_protein,72,272,270,302,45,250,45,224,63,179
BSU06420_purE_phosphoribosylaminoimidazole_carboxylase_I,10347,9141,7318,9695,6680,7050,4210,5633,4189,4029
BSU06430_purK_phosphoribosylaminoimidazole_carboxylase_ATPase_subunit,26546,25794,19907,27086,16214,21277,10653,16521,10637,11964
BSU06440_purB_adenylosuccinate_lyase,40397,36786,28918,39684,24654,30088,16975,25304,16881,18608
BSU06450_purC_phosphoribosylaminoimidazolesuccinocarboxamide_synthase,17261,20648,15071,21658,10910,16991,7515,14427,7480,11117
BSU06460_purS_phosphoribosylformylglycinamidine_synthase_subunit_PurS,6929,8293,5482,8305,4108,6790,2983,5718,2842,4264
BSU06470_purQ_phosphoribosylformylglycinamidine_synthase_I,16272,14613,9185,13796,10346,11055,7242,9504,7309,7129
BSU06480_purL_phosphoribosylformylglycinamidine_synthase_II,61387,52061,36119,49704,38501,40419,27571,35965,26733,27583
BSU06490_purF_amidophosphoribosyltransferase,44278,35593,26865,34403,28692,27767,20322,25788,20208,18477
BSU06500_purM_phosphoribosylaminoimidazole_synthetase,25229,21380,14628,20709,15723,16526,10900,13776,10659,10458
BSU06510_purN_phosphoribosylglycinamide_formyltransferase,14033,15016,10070,13826,8755,11040,6075,9308,5660,7223
BSU06520_purH_bifunctional_phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase,43553,40662,29802,38928,27101,30157,19030,27509,18535,19026
BSU06530_purD_phosphoribosylamine--glycine_ligase,39276,38099,28032,33640,25262,28961,17314,25149,16302,18420
BSU06540_yezC_Lrp/AsnC_family_transcriptional_regulator,126,68,87,92,117,86,109,130,150,85
BSU06550_yecA_amino_acid/polyamine_permease,432,281,227,335,365,259,219,231,202,144
BSU06559_yezF_hypothetical_protein,4,2,0,3,0,1,0,1,1,1
BSU06560_yerA_amidohydrolase,813,1139,930,1091,503,1118,388,1045,569,825
BSU06570_yerB_lipoprotein,8079,11572,11352,11106,6641,11889,6410,12244,7488,10973
BSU06580_yerC_hypothetical_protein,1138,1227,1484,1283,947,1391,1015,1453,1176,1212
BSU06590_yerD_flavoenzyme,24,16,22,37,24,24,40,33,69,20
BSU06600_pcrB_geranylgeranylglyceryl_phosphate_synthase,896,865,802,1055,606,900,618,969,642,707
BSU06610_pcrA_ATP-dependent_DNA_helicase,3538,3456,3171,4153,2751,3400,2746,4042,2897,3510
BSU06620_ligA_NAD-dependent_DNA_ligase_LigA,5243,5380,4795,6085,4298,5130,4071,5579,4214,4507
BSU06630_yerH_lipoprotein,3787,5503,4417,5559,2956,4746,2856,6285,3098,4538
BSU06640_yerI_kinase,1697,2364,1934,1801,953,1914,1032,2230,1183,2094
BSU06650_sapB_membrane_component,318,245,235,266,285,207,275,279,360,247
BSU06660_opuE_proline_transporter,1926,996,674,741,1139,708,837,546,386,191
BSU06670_gatC_aspartyl/glutamyl-tRNA_amidotransferase_subunit_C,3319,5496,4719,5145,2576,4877,2620,5492,2816,4826
BSU06680_gatA_aspartyl/glutamyl-tRNA_amidotransferase_subunit_A,17232,15968,13420,14649,12693,14695,13526,16467,15381,14459
BSU06690_gatB_aspartyl/glutamyl-tRNA_amidotransferase_subunit_B,17117,17635,15429,16236,12789,16057,13518,18795,15608,16492
BSU06700_yerO_TetR/AcrR_family_transcriptional_regulator,431,655,534,606,314,596,270,636,324,468
BSU06710_swrC_surfactin_self-resistance_transporter,22429,26322,20475,23146,18193,21324,16026,23310,15211,18907
BSU06720_yerQ_lipid_kinase,3988,3690,3211,3187,2847,3564,2703,3202,2488,2430
BSU06730_yefA_RNA_methyltransferase,1935,1725,1601,1558,1634,1510,1293,1365,1127,1028
BSU06740_yefB_site-specific_recombinase_/_invertase,16,41,42,39,17,73,16,50,13,27
BSU06750_yefC_resolvase,98,202,92,141,60,145,48,96,32,111
BSU06760_yeeA_restriction_type_II_methylase,986,2222,1596,2191,763,2148,570,1746,623,1520
BSU06770_yeeB_DNA_helicase_/_endonuclease,923,2242,1666,2271,739,2282,636,1896,649,1739
BSU06780_yeeC_hypothetical_protein,644,2098,1471,2188,526,2112,488,1896,519,2077
BSU06790_yeeD_hypothetical_protein,18,31,19,29,12,26,14,37,27,27
BSU06800_yezA_hypothetical_protein,11,46,33,39,15,16,7,35,13,41
BSU06811_yezG_hypothetical_protein,344,906,686,869,191,765,212,887,266,839
BSU06812_yeeF_DNA_binding_protein,2343,2749,2441,2607,1557,2413,1336,3122,1728,2492
BSU06820_yeeG_phage_receptor_protein,18,17,26,33,31,34,21,26,20,20
BSU06830_rapH_response_regulator_aspartate_phosphatase,699,857,578,599,386,739,383,835,493,783
BSU06839_phrH_inhibitor_of_regulatory_cascade,58,62,54,54,38,62,37,76,46,50
BSU06840_yeeI_hypothetical_protein,2980,3117,3115,3360,2022,3147,2022,3232,2215,2587
BSU06850_yeeK_spore_associated_protein,53,13,17,19,35,26,39,18,32,15
BSU06860_yezE_TetR_family_transcriptional_regulator,980,1601,1509,1507,661,1547,653,1520,710,1266
BSU06870_yesE_hypothetical_protein,67,137,103,112,46,99,33,96,33,77
BSU06880_yesF_hypothetical_protein,199,88,78,85,125,91,125,117,127,74
BSU06890_cotJA_inner_spore_coat_protein,6,9,1,6,0,2,1,4,0,0
BSU06900_cotJB_inner_spore_coat_protein,11,5,2,9,7,7,2,6,2,1
BSU06910_cotJC_inner_spore_coat_protein,20,12,7,2,10,5,3,4,2,9
BSU06920_yesJ_acetyltransferase,736,1163,1024,1063,532,1131,559,1487,716,1116
BSU06930_yesK_permease,26,25,16,16,17,15,20,26,12,14
BSU06940_yesL_permease,32,24,25,15,27,37,15,26,15,15
BSU06950_yesM_two-component_sensor_histidine_kinase_YesN,79,96,80,65,50,68,44,78,46,71
BSU06960_yesN_two-component_response_regulator_YesM,54,32,39,44,35,38,19,32,29,23
BSU06970_yesO_pectin_degradation_byproducts-binding_lipoprotein,15,15,13,17,12,26,12,13,10,7
BSU06980_yesP_rhamnogalacturonan_permease,21,12,9,4,16,5,9,9,6,5
BSU06990_yesQ_rhamnogalacturonan_permease,15,6,3,11,13,6,11,6,10,1
BSU07000_yesR_rhamnogalacturonan_hydrolase,32,13,8,25,14,16,12,12,24,6
BSU07010_yesS_AraC_family_transcriptional_regulator,49,31,37,86,47,42,46,55,50,44
BSU07020_rhgT_rhamnogalacturonan_acetylesterase,17,8,15,17,24,12,12,28,17,15
BSU07030_yesU_hypothetical_protein,10,4,4,11,15,11,13,11,7,9
BSU07040_yesV_hypothetical_protein,8,0,4,10,9,9,9,3,5,7
BSU07050_yesW_polysaccharide_lyase;_lipoprotein,21,5,11,17,22,8,13,17,11,7
BSU07060_yesX_polysaccharide_lyase,27,17,15,21,34,23,23,16,23,8
BSU07070_yesY_rhamnogalacturonan_acetylesterase,16,7,18,18,11,18,9,18,10,19
BSU07080_yesZ_beta-galacturonidase,78,62,44,52,64,36,36,36,57,28
BSU07090_yetA_hypothetical_protein,68,53,63,41,38,64,50,87,28,26
BSU07100_lplA_lipoprotein,13,30,18,24,18,18,10,8,14,4
BSU07110_lplB_ABC_transporter_permease,15,11,9,14,8,16,8,15,10,14
BSU07120_lplC_ABC_transporter_permease,50,44,29,31,55,22,35,30,33,19
BSU07130_lplD_glycosidase,70,60,58,56,71,76,59,79,65,49
BSU07140_yetF_hypothetical_protein,66,108,82,79,43,81,43,79,45,64
BSU07150_yetG_monooxygenase,454,362,141,160,55,174,65,155,53,127
BSU07160_yetH_lyase/dioxygenase,582,336,328,375,350,258,382,384,468,296
BSU07190_yezD_hypothetical_protein,10,40,34,40,6,34,12,41,22,32
BSU07200_yetJ_hypothetical_protein,12037,10323,9405,8531,9034,10392,9631,10952,10908,9988
BSU07210_yetK_efflux_transporter,1418,669,650,627,1216,701,1178,891,1541,883
BSU07220_yetL_MarR_family_transcriptional_regulator,149,139,111,135,115,143,126,192,166,157
BSU07230_yetM_hypothetical_protein,75,75,54,80,49,75,44,78,43,56
BSU07240_yetN_hypothetical_protein,609,618,648,736,423,625,374,602,363,415
BSU07250_yetO_cytochrome_P450_CYP102A2,80,52,39,51,68,37,42,35,38,33
BSU07260_ltaSA_glycerol_phosphate_lipoteichoic_acid_synthetase_and_anion-binding_protein,18446,24327,19933,22884,15451,21324,13846,20636,12798,15606
BSU07270_yfnH_sugar-phosphate_cytidylyltransferase,13,19,16,25,8,7,8,14,9,4
BSU07280_yfnG_CDP-sugar-dehydratase/epimerase,19,31,6,21,19,9,9,19,12,6
BSU07290_yfnF_glycosyltransferase,37,21,18,24,23,23,14,16,18,24
BSU07300_yfnE_glycosyltransferase,126,189,149,187,101,184,100,181,77,141
BSU07310_yfnD_glycosyltransferase,129,154,138,144,134,161,96,159,105,104
BSU07320_yfnC_efflux_transporter,672,321,318,286,701,350,718,424,789,375
BSU07330_yfnB_hydrolase,538,887,841,796,398,821,434,1075,434,819
BSU07340_yfnA_metabolite_permease,2906,2059,2915,3061,4916,3588,4719,3725,4482,3141
BSU07350_yfmT_aldehyde_dehydrogenase,56,48,56,71,64,59,47,66,63,67
BSU07360_yfmS_chemotaxis_sensory_transducer_protein,42,36,35,38,37,31,34,48,44,73
BSU07370_yfmR_ABC_protein,2763,2895,2618,2718,2214,2829,2297,2913,2580,2571
BSU07380_yfmQ_hypothetical_protein,1346,1603,1433,1592,863,1486,673,1327,695,950
BSU07390_yfmP_MerR_family_transcriptional_regulator,453,471,464,571,295,529,262,462,254,357
BSU07400_yfmO_metal_efflux_transporter,362,207,223,249,424,269,342,201,295,191
BSU07410_yfmN_hypothetical_protein,3,0,2,0,0,0,1,2,1,2
BSU07420_yfmM_ABC_transporter_ATP-binding_protein,2399,2644,2367,2398,1859,2285,1659,2516,1854,1971
BSU07430_yfmL_ATP-dependent_RNA_helicase,1660,1987,2091,2060,1359,2071,1253,2328,1462,1668
BSU07440_yfmK_acetyltransferase,241,226,220,194,127,219,133,246,142,186
BSU07450_yfmJ_oxidoreductase,830,1023,938,982,702,1113,889,1034,1010,1166
BSU07460_yfmI_efflux_transporter,160,210,123,150,122,233,110,211,149,249
BSU07480_yfmG_hypothetical_protein,171,477,520,509,226,866,277,1166,394,1504
BSU07490_yfmF_iron-dicitrate_ABC_transporter_ATP-binding_protein,1322,1155,1045,1012,1091,1086,1212,1489,1276,1033
BSU07500_yfmE_iron-dicitrate_ABC_transporter_permease,831,632,533,608,638,608,725,699,786,554
BSU07510_yfmD_iron-dicitrate_ABC_transporter_permease,600,247,194,256,478,220,558,324,591,277
BSU07520_yfmC_iron-dicitrate_ABC_transporter_binding_lipoprotein,1119,609,458,729,539,754,1096,1466,1266,1388
BSU07530_yfmB_hypothetical_protein,29,19,68,59,120,89,231,229,355,312
BSU07540_yfmA_hypothetical_protein,5,1,1,3,2,0,1,6,5,0
BSU07550_yflT_heat_stress_induced_protein,21,43,42,133,24,74,33,41,45,45
BSU07560_pel_pectate_lyase,741,404,460,580,332,475,316,460,291,370
BSU07570_yflS_2-oxoglutarate/malate_transporter,152,90,106,177,117,172,146,116,101,111
BSU07580_citS_two-component_sensor_histidine_kinase,447,501,900,932,789,916,836,1579,1151,1335
BSU07590_citT_two-component_response_regulator,121,136,220,272,196,262,205,369,281,390
BSU07600_yflP_hypothetical_protein,163,169,319,314,263,337,276,569,402,380
BSU07610_citM_transporter_of_divalent_metal_ions/citrate_complexes,109,97,58,73,81,75,75,86,98,63
BSU07620_yflN_metal-dependent_hydrolase,55,35,32,25,46,31,40,35,55,26
BSU07630_nosA_nitric-oxide_synthase,691,846,799,775,427,684,476,1080,567,814
BSU07640_yflL_acylphosphatase,105,140,106,96,67,129,83,124,113,121
BSU07650_yflK_sulfur_carrier,389,449,400,429,316,400,316,517,358,397
BSU07660_yflJ_hypothetical_protein,34,22,31,32,42,41,42,41,46,17
BSU07670_yflI_hypothetical_protein,255,406,358,364,228,374,184,392,203,396
BSU07680_yflH_hypothetical_protein,393,730,679,639,309,743,322,779,363,616
BSU07690_yflG_methionine_aminopeptidase,1795,2069,2111,1969,1321,2076,1458,2315,1612,1994
BSU07700_nagP_PTS_system_N-acetylglucosamine-specific_transporter_subunit_IICB,1923,1693,1328,1543,1260,1563,1188,1752,1336,1336
BSU07710_yflE_anion_transporter,16815,19767,15804,17885,13690,17675,11341,15953,11021,13227
BSU07720_yflD_hypothetical_protein,4,12,2,14,5,14,4,11,4,13
BSU07735_yflB_hypothetical_protein,67,221,260,245,58,234,72,335,57,262
BSU07750_yflA_aminoacid_transporter,58,39,44,127,67,90,62,60,106,47
BSU07760_yfkT_spore_germination_integral_inner_membrane_protein,14,6,8,13,13,16,14,11,6,9
BSU07770_yfkS_hypothetical_protein,3,1,1,0,3,5,1,5,0,4
BSU07780_yfkR_spore_germination_protein,19,19,22,22,14,16,11,26,7,19
BSU07790_yfkQ_spore_germination_protein,15,16,11,13,19,21,15,17,14,5
BSU07800_treP_PTS_system_trehalose-specific_transporter_subunit_IIBC,89,86,55,94,64,63,71,56,83,40
BSU07810_treA_trehalose-6-phosphate_hydrolase,96,122,81,110,71,82,78,75,69,72
BSU07820_treR_GntR_family_transcriptional_regulator,1573,2602,2195,2276,1051,2338,1038,2089,1007,1893
BSU07830_yfkO_NAD(P)H-flavin_oxidoreductase,889,1139,1023,1041,553,1096,583,964,564,814
"BSU07840_yfkN_bifunctional_2',3'-cyclic_nucleotide_2'-phosphodiesterase/3'-nucleotidase_precursor_protein",2518,2227,4488,5149,5358,5668,6016,9054,7595,7993
BSU07850_yfkM_general_stress_protein_18,61,53,67,131,76,124,113,110,151,96
BSU07860_yfkL_efflux_transporter,1002,651,556,514,782,556,762,733,900,579
BSU07870_yfkK_hypothetical_protein,685,512,480,451,568,582,588,585,630,461
BSU07880_yfkJ_protein-tyrosine-phosphatase,195,268,240,385,183,378,188,302,236,268
BSU07890_yfkI_hypothetical_protein,184,263,213,318,143,273,160,295,185,236
BSU07900_yfkH_hypothetical_protein,438,301,267,389,397,355,411,324,527,309
BSU07910_yfkF_efflux_transporter,627,311,239,257,557,311,492,317,486,277
BSU07920_yfkE_H+/Ca2+_antiporter,75,49,46,99,64,52,68,43,100,72
BSU07930_yfkD_hypothetical_protein,113,102,103,182,93,110,83,125,118,84
BSU07940_yfkC_mechanosensitive_ion_channel_protein_MscS,902,972,888,962,726,1101,648,912,647,740
BSU07955_yfkA_Fe-S_oxidoreductase,1392,1214,1123,1115,1119,1193,982,1160,966,769
BSU07970_yfjT_hypothetical_protein,400,994,1149,1277,310,1218,323,1361,409,1070
BSU07980_pdaA_N-acetylmuramic_acid_deacetylase,154,155,180,212,110,149,111,151,125,184
BSU07990_yfjR_beta-hydroxyacid_dehydrogenase,617,467,546,502,540,555,699,550,630,500
BSU08000_yfjQ_divalent_cation_transport_protein,950,1159,1114,1087,772,1186,734,1124,737,886
BSU08010_yfjP_DNA-modified_purine_glycosidase,521,755,761,711,420,755,466,952,611,805
BSU08020_yfjO_RNA_methyltransferase,2213,2017,1893,2048,1834,1990,1710,2106,1786,1601
BSU08029_yfzA_hypothetical_protein,79,142,106,117,44,133,49,126,46,126
BSU08030_dusC_tRNA-dihydrouridine_synthase,1077,1509,1212,1355,862,1219,695,1266,702,869
BSU08040_yfjM_hypothetical_protein,284,268,241,279,207,259,190,311,182,206
BSU08050_yfjL_hypothetical_protein,345,520,544,552,242,459,238,560,251,395
BSU08060_acoA_acetoin_dehydrogenase_E1_component_subunit_alpha,6,6,7,11,10,8,14,17,6,11
BSU08070_acoB_acetoin_dehydrogenase_E1_component_subunit_beta,22,10,14,13,15,9,10,17,13,11
BSU08080_acoC_branched-chain_alpha-keto_acid_dehydrogenase_E2_subunit,65,75,67,86,53,66,45,93,47,43
BSU08090_acoL_dihydrolipoamide_dehydrogenase,74,52,52,63,63,62,68,81,68,35
BSU08100_acoR_transcriptional_regulator,235,283,186,173,131,164,124,192,179,163
BSU08110_sspH_acid-soluble_spore_protein_H,13,25,21,16,9,15,15,25,12,11
BSU08120_yfjF_hypothetical_protein,445,223,251,225,523,236,521,318,684,237
BSU08130_yfjE_hypothetical_protein,807,1092,908,1117,853,1163,816,1466,1084,1365
BSU08140_yfjD_hypothetical_protein,830,1588,1445,1697,854,1779,914,2300,1156,2317
BSU08150_yfjC_hypothetical_protein,753,1494,1406,1715,952,1725,876,2186,1153,2118
BSU08160_yfjB_hypothetical_protein,1067,1547,1507,1905,1138,1956,1278,2570,1720,2364
BSU08170_yfjA_hypothetical_protein,248,409,368,459,208,405,269,593,390,540
BSU08180_malA_6-phospho-alpha-glucosidase,170,178,160,174,102,211,132,189,186,225
BSU08190_malR_Mal_operon_transcriptional_activator,162,177,195,199,114,219,107,259,145,228
BSU08200_malP_PTS_system_maltose-specific_transporter_subunit_IICB,79,53,46,34,53,51,55,56,65,46
BSU08210_malQ_maltose_and_maltodextrin_ABC_transporter_subunit_ATP-binding_protein,542,615,516,569,467,619,618,601,500,459
BSU08220_yfiC_ABC_transporter_ATP-binding_protein,512,549,602,736,581,628,583,601,534,582
"BSU08230_catD_catechol-2,3-dioxygenase_membrane_subunit",188,193,122,137,55,133,65,111,51,93
"BSU08240_catE_catechol-2,3-dioxygenase_subunit",250,143,88,93,76,95,100,82,48,70
BSU08250_yfiF_AraC_family_transcriptional_regulator,92,63,45,55,59,51,66,80,91,46
BSU08260_yfiG_sugar_transporter,51,46,46,59,58,56,50,52,73,37
BSU08270_yfiH_sugar-phosphate_epimerase/isomerase,35,25,35,32,21,46,22,63,37,37
BSU08280_yfiI_oxidoreductase,54,38,68,53,66,80,65,64,70,54
BSU08290_yfiJ_two-component_sensor_histidine_kinase_YfiK,725,644,586,588,523,554,467,627,538,563
BSU08300_yfiK_two-component_response_regulator_YfiJ,387,425,386,428,265,359,262,414,266,357
BSU08310_yfiL_ABC_transporter_ATP-binding_protein,13,10,11,14,11,12,10,15,8,11
BSU08320_yfiM_ABC_transporter_permease,19,23,12,25,24,26,9,20,11,17
BSU08330_yfiN_ABC_transporter_permease,31,33,33,29,36,26,19,31,38,23
BSU08340_padR_transcriptional_regulator,652,649,641,645,493,614,543,778,699,701
BSU08350_estB_secreted_esterase_/_lipase,422,1579,1971,2331,433,2356,407,2415,415,1779
BSU08360_yfiQ_hypothetical_protein,118,95,85,108,91,123,86,139,110,119
BSU08370_yfiR_TetR/AcrR_family_transcriptional_regulator,355,541,539,512,217,598,233,612,323,579
BSU08380_yfiS_efflux_transporter,278,255,231,234,248,264,182,264,227,256
BSU08390_yfiT_metal-dependent_hydrolase,524,946,839,742,349,925,387,1017,494,893
BSU08400_yfiU_efflux_transporter,130,168,124,141,136,146,105,133,135,144
BSU08410_yfiV_MarR_family_transcriptional_regulator,241,579,537,621,175,489,157,564,174,513
BSU08425_mprF_hypothetical_protein,4603,4297,3277,3802,3868,3712,3614,4105,3695,3452
BSU08440_yfiY_iron(III)_dicitrate_transporter_binding_lipoprotein,1391,663,242,466,154,392,273,286,119,151
BSU08450_yfiZ_iron(III)_siderophore_transport_permease,628,205,84,118,123,99,201,111,122,84
BSU08460_yfhA_iron(III)_siderophore_transport_permease,649,198,71,129,119,126,167,101,108,60
BSU08470_yfhB_isomerase,596,695,1520,1628,856,1753,1164,3167,1638,2914
BSU08480_yfhC_oxidoreductase,1167,745,704,860,546,997,880,1312,992,1259
BSU08490_yfhD_hypothetical_protein,13,8,19,12,16,4,17,15,16,2
BSU08500_yfhE_hypothetical_protein,4,27,17,35,3,21,6,19,11,33
BSU08510_yfhF_nucleotide_binding_protein,99,124,104,155,69,109,81,125,92,127
BSU08520_recX_recombination_regulator_RecX,828,1616,1475,1635,667,1320,637,1855,758,1295
BSU08530_yfhH_hypothetical_protein,351,515,514,508,248,453,283,622,312,391
BSU08540_yfhI_efflux_transporter,1140,822,623,701,936,700,702,527,558,378
BSU08550_sspK_acid-soluble_spore_protein_K,1,3,0,1,3,3,2,1,0,0
BSU08560_yfhJ_hypothetical_protein,203,265,299,322,219,298,238,321,215,252
BSU08570_yfhK_hypothetical_protein,69,36,41,173,101,75,117,67,240,68
BSU08580_yfhL_SdpC_immunity_factor,388,911,779,742,230,743,219,769,296,627
BSU08590_yfhM_hydrolase,643,495,448,478,435,421,374,554,471,424
BSU08600_csbB_glycosyl_transferase_family_protein,1424,2020,1509,1821,974,1826,940,1692,1019,1387
BSU08610_yfhO_hypothetical_protein,3401,3791,3013,3909,2474,3371,1892,3323,1920,2287
BSU08620_yfhP_membrane_hydrolase,1101,1008,900,952,986,978,1072,1136,1217,1025
BSU08630_yfhQ_A/G-specific_adenine_glycosylase,1578,2038,1677,1968,1095,1766,1077,1963,1180,1531
BSU08640_yfhS_hypothetical_protein,1,5,4,8,1,0,0,2,1,2
BSU08650_fabL_enoyl-ACP_reductase,2552,2711,2547,2669,1854,2561,1714,2773,1901,2233
BSU08660_sspE_small_acid-soluble_spore_protein,477,288,380,379,454,324,427,348,461,221
BSU08670_ygaB_hypothetical_protein,73,151,113,117,59,117,48,117,69,135
BSU08680_ygaC_hypothetical_protein,1149,2271,2023,2152,910,1982,973,2568,1057,2005
BSU08690_ygaD_ABC_transporter_ATP-binding_protein,1914,2590,2242,2827,1793,2405,1702,2648,1597,1993
BSU08700_ygaE_hypothetical_protein,1565,2663,2164,2404,1251,2330,914,1826,914,1393
BSU08710_gsaB_glutamate-1-semialdehyde_aminotransferase,3007,2814,2803,3042,2102,3075,1971,2783,2255,2381
BSU08720_ygaF_bacterioferritin_comigratory_protein;_peroxiredoxin,921,2260,1924,2001,718,2267,734,2607,905,2352
BSU08730_perR_Fur_family_transcriptional_regulator,5604,7980,9132,9591,5332,9307,5910,9321,6626,7875
BSU08740_ygzB_hypothetical_protein,572,1115,927,1013,445,976,412,1104,508,970
BSU08750_ygxA_hypothetical_protein,1784,2352,1890,2079,1259,2144,1133,2085,1186,1867
BSU08760_spo0M_sporulation-control_gene,6598,12556,10087,9892,3547,9575,2973,9896,3597,7884
BSU08770_ygzA_hypothetical_protein,15,12,22,15,15,20,14,22,15,22
BSU08779_ygzC_hypothetical_protein,17,11,9,13,14,14,11,11,12,5
BSU08780_ygaJ_peptidase,239,226,347,358,279,430,366,587,538,534
BSU08790_thiC_thiamine_biosynthesis_protein_ThiC,21846,25732,33617,39178,24540,37430,27795,50346,36594,42261
BSU08800_ygaK_FAD-dependent_oxidoreductase,56,30,58,113,109,84,113,72,92,37
BSU08810_senS_transcriptional_regulator,0,0,0,0,0,0,0,2,0,2
BSU08820_katA_vegetative_catalase_1,9909,10931,24063,33718,23562,25090,37909,33620,40665,27331
BSU08830_ssuB_aliphatic_sulfonate_ABC_transporter_ATP-binding_protein,6,3,4,20,18,20,32,13,16,16
BSU08840_ssuA_aliphatic_sulfonate_ABC_transporter_binding_lipoprotein,14,7,21,39,19,36,26,19,14,23
BSU08850_ssuC_aliphatic_sulfonate_ABC_transporter_permease,10,6,8,25,25,18,22,5,21,5
BSU08860_ssuD_alkanesulfonate_monooxygenase,24,14,23,27,32,31,47,15,47,15
BSU08870_ygaN_sulfur_oxidoreductase,126,131,185,291,54,173,111,235,126,166
BSU08880_rpsN_30S_ribosomal_protein_S14,107,83,88,1707,31,101,3718,400,902,60
BSU08890_ygaO_hypothetical_protein,262,236,234,318,248,236,308,264,308,194
BSU08899_ygzD_HTH-type_transcriptional_regulator,308,713,761,933,256,713,335,800,334,596
BSU08900_yhzB_hypothetical_protein,285,317,264,260,225,348,282,326,321,303
BSU08910_yhbA_iron-sulfur_containing_oxidoreductase_subunit,601,453,433,558,600,554,490,412,448,339
BSU08920_yhbB_hypothetical_protein,73,61,88,125,127,116,67,82,72,43
BSU08930_cspR_rRNA_methylase,1740,4979,4516,4404,1208,4645,1107,4073,1252,3430
BSU08940_yhbD_nucleic_acid_binding_protein,276,413,344,475,165,433,179,384,194,383
BSU08950_yhbE_hypothetical_protein,376,478,375,541,266,523,259,471,259,419
BSU08960_yhbF_hypothetical_protein,409,533,556,632,311,503,300,643,315,418
BSU08970_prkA_serine_protein_kinase,72,56,71,73,60,98,56,90,43,45
BSU08980_yhbH_hypothetical_protein,74,91,118,137,49,145,60,155,68,115
BSU08990_yhbI_MarR_family_transcriptional_regulator,171,303,393,560,300,554,338,497,206,370
BSU09000_yhbJ_hypothetical_protein,266,566,876,1149,460,1223,422,1200,388,794
BSU09010_yhcA_exporter,634,577,858,1079,1196,1114,1246,1139,969,779
BSU09020_yhcB_oxidoreductase,327,374,528,540,612,614,631,604,512,406
BSU09030_yhcC_hypothetical_protein,120,119,197,187,236,240,248,247,215,116
BSU09040_yhcD_hypothetical_protein,12,8,6,10,6,6,7,4,7,4
BSU09050_yhcE_hypothetical_protein,619,598,376,576,420,525,323,417,386,422
BSU09060_yhcF_GntR_family_transcriptional_regulator,334,543,436,551,263,461,215,495,216,351
BSU09070_yhcG_ABC_transporter_ATP-binding_protein,669,1061,776,1040,512,848,428,860,451,720
BSU09080_yhcH_ABC_transporter_ATP-binding_protein,856,2134,1337,1892,679,1665,611,1739,584,1294
BSU09090_yhcI_ABC_transporter_permease,1072,1269,926,1175,883,1072,774,1106,794,819
BSU09100_cspB_cold-shock_protein,15141,23512,28844,21967,10560,23365,10128,26630,12787,15609
BSU09110_yhcJ_ABC_transporter_binding_lipoprotein,1006,764,528,632,389,604,638,627,619,576
BSU09120_yhcK_diguanylate_cyclase_or_phosphodiesterase,1449,2164,1673,2158,1081,1939,882,1895,937,1642
BSU09130_tcyP_sodium-cystine_symporter,700,609,500,460,465,602,638,521,485,454
BSU09140_yhcM_hypothetical_protein,20,18,14,16,12,16,13,10,12,20
BSU09150_yhcN_lipoprotein,9,21,22,27,8,19,9,12,11,20
BSU09165_yhcO_hypothetical_protein,6,6,3,3,3,5,3,5,3,4
BSU09180_yhcQ_hypothetical_protein,42,39,45,55,44,46,44,55,50,48
BSU09190_yhcR_non_specific_extracellular_endonuclease_cleaving_RNA_and_DNA,1145,1368,1077,1259,848,1293,881,1703,1073,1504
BSU09200_yhcS_secreted_enzyme;_sortase,231,234,181,228,160,222,178,317,214,283
BSU09210_yhcT_RNA_pseudouridine_synthase,258,217,238,225,209,246,219,232,249,176
BSU09220_yhcU_hypothetical_protein,50,87,85,92,30,102,41,77,43,68
BSU09230_yhcV_oxidoreductase,72,95,88,68,44,94,52,68,54,74
BSU09240_yhcW_phosphoglycolate_phosphatase,425,485,398,608,358,494,329,467,392,466
BSU09250_yhcX_amidohydrolase,1225,1199,1062,1467,1073,1190,1050,1248,1123,1163
BSU09260_yhxA_aminotransferase,1751,1730,1429,1402,1345,1700,1386,1834,1714,1515
BSU09270_glpP_glycerol-3-phosphate_responding_transcription_antiterminator,812,1552,1204,1358,617,1514,634,1643,738,1362
BSU09280_glpF_glycerol_permease,240,304,229,274,172,209,117,185,151,144
BSU09290_glpK_glycerol_kinase,1219,1462,1356,1645,911,1352,714,1263,933,895
BSU09300_glpD_glycerol-3-phosphate_oxidase,286,377,359,391,278,376,252,387,241,297
BSU09310_pgcA_alpha-phosphoglucomutase,6422,8979,7515,7911,4644,7950,4985,8730,5318,7561
BSU09320_yhcY_two-component_sensor_histidine_kinase_YhcZ,691,685,618,608,532,634,516,807,627,649
BSU09330_yhcZ_two-component_response_regulator_YhcY,373,413,330,403,298,425,307,486,327,402
"BSU09340_yhdA_oxidoreductase,_NAD(P)H-FMN_and_ferric_iron_reductase",302,437,408,377,217,443,245,505,251,461
BSU09350_yhdB_hypothetical_protein,0,1,1,0,0,0,0,1,1,0
BSU09360_yhdC_hypothetical_protein,18,44,50,31,21,36,16,61,20,35
BSU09370_lytF_gamma-D-glutamate-meso-diaminopimelate_muropeptidase,57,59,86,82,61,98,38,79,43,54
